ACK_ID,FORM_PLAN_YEAR_BEGIN_DATE,FORM_TAX_PRD,TYPE_PLAN_ENTITY_CD,TYPE_DFE_PLAN_ENTITY_CD,INITIAL_FILING_IND,AMENDED_IND,FINAL_FILING_IND,SHORT_PLAN_YR_IND,COLLECTIVE_BARGAIN_IND,F5558_APPLICATION_FILED_IND,EXT_AUTOMATIC_IND,DFVC_PROGRAM_IND,EXT_SPECIAL_IND,EXT_SPECIAL_TEXT,PLAN_NAME,SPONS_DFE_PN,PLAN_EFF_DATE,SPONSOR_DFE_NAME,SPONS_DFE_DBA_NAME,SPONS_DFE_CARE_OF_NAME,SPONS_DFE_MAIL_US_ADDRESS1,SPONS_DFE_MAIL_US_ADDRESS2,SPONS_DFE_MAIL_US_CITY,SPONS_DFE_MAIL_US_STATE,SPONS_DFE_MAIL_US_ZIP,SPONS_DFE_MAIL_FOREIGN_ADDR1,SPONS_DFE_MAIL_FOREIGN_ADDR2,SPONS_DFE_MAIL_FOREIGN_CITY,SPONS_DFE_MAIL_FORGN_PROV_ST,SPONS_DFE_MAIL_FOREIGN_CNTRY,SPONS_DFE_MAIL_FORGN_POSTAL_CD,SPONS_DFE_LOC_US_ADDRESS1,SPONS_DFE_LOC_US_ADDRESS2,SPONS_DFE_LOC_US_CITY,SPONS_DFE_LOC_US_STATE,SPONS_DFE_LOC_US_ZIP,SPONS_DFE_LOC_FOREIGN_ADDRESS1,SPONS_DFE_LOC_FOREIGN_ADDRESS2,SPONS_DFE_LOC_FOREIGN_CITY,SPONS_DFE_LOC_FORGN_PROV_ST,SPONS_DFE_LOC_FOREIGN_CNTRY,SPONS_DFE_LOC_FORGN_POSTAL_CD,SPONS_DFE_EIN,SPONS_DFE_PHONE_NUM,BUSINESS_CODE,ADMIN_NAME,ADMIN_CARE_OF_NAME,ADMIN_US_ADDRESS1,ADMIN_US_ADDRESS2,ADMIN_US_CITY,ADMIN_US_STATE,ADMIN_US_ZIP,ADMIN_FOREIGN_ADDRESS1,ADMIN_FOREIGN_ADDRESS2,ADMIN_FOREIGN_CITY,ADMIN_FOREIGN_PROV_STATE,ADMIN_FOREIGN_CNTRY,ADMIN_FOREIGN_POSTAL_CD,ADMIN_EIN,ADMIN_PHONE_NUM,LAST_RPT_SPONS_NAME,LAST_RPT_SPONS_EIN,LAST_RPT_PLAN_NUM,ADMIN_SIGNED_DATE,ADMIN_SIGNED_NAME,SPONS_SIGNED_DATE,SPONS_SIGNED_NAME,DFE_SIGNED_DATE,DFE_SIGNED_NAME,TOT_PARTCP_BOY_CNT,TOT_ACTIVE_PARTCP_CNT,RTD_SEP_PARTCP_RCVG_CNT,RTD_SEP_PARTCP_FUT_CNT,SUBTL_ACT_RTD_SEP_CNT,BENEF_RCVG_BNFT_CNT,TOT_ACT_RTD_SEP_BENEF_CNT,PARTCP_ACCOUNT_BAL_CNT,SEP_PARTCP_PARTL_VSTD_CNT,CONTRIB_EMPLRS_CNT,TYPE_PENSION_BNFT_CODE,TYPE_WELFARE_BNFT_CODE,FUNDING_INSURANCE_IND,FUNDING_SEC412_IND,FUNDING_TRUST_IND,FUNDING_GEN_ASSET_IND,BENEFIT_INSURANCE_IND,BENEFIT_SEC412_IND,BENEFIT_TRUST_IND,BENEFIT_GEN_ASSET_IND,SCH_R_ATTACHED_IND,SCH_MB_ATTACHED_IND,SCH_SB_ATTACHED_IND,SCH_H_ATTACHED_IND,SCH_I_ATTACHED_IND,SCH_A_ATTACHED_IND,NUM_SCH_A_ATTACHED_CNT,SCH_C_ATTACHED_IND,SCH_D_ATTACHED_IND,SCH_G_ATTACHED_IND,FILING_STATUS,DATE_RECEIVED,VALID_ADMIN_SIGNATURE,VALID_DFE_SIGNATURE,VALID_SPONSOR_SIGNATURE,ADMIN_PHONE_NUM_FOREIGN,SPONS_DFE_PHONE_NUM_FOREIGN,ADMIN_NAME_SAME_SPON_IND,ADMIN_ADDRESS_SAME_SPON_IND,PREPARER_NAME,PREPARER_FIRM_NAME,PREPARER_US_ADDRESS1,PREPARER_US_ADDRESS2,PREPARER_US_CITY,PREPARER_US_STATE,PREPARER_US_ZIP,PREPARER_FOREIGN_ADDRESS1,PREPARER_FOREIGN_ADDRESS2,PREPARER_FOREIGN_CITY,PREPARER_FOREIGN_PROV_STATE,PREPARER_FOREIGN_CNTRY,PREPARER_FOREIGN_POSTAL_CD,PREPARER_PHONE_NUM,PREPARER_PHONE_NUM_FOREIGN,TOT_ACT_PARTCP_BOY_CNT,SUBJ_M1_FILING_REQ_IND,COMPLIANCE_M1_FILING_REQ_IND,M1_RECEIPT_CONFIRMATION_CODE,ADMIN_MANUAL_SIGNED_DATE,ADMIN_MANUAL_SIGNED_NAME
"20170408134815P030089154465001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"ACHIEVEMENT IN MATHEMATICS, INC. 401(K) PLAN","001","2012-08-02","ACHIEVEMENT IN MATHEMATICS, INC.",,,"201 BIRCHWOOD AVENUE",,"BIRCHWOOD","MN","55110",,,,,,,,,,,,,,,,,,"460708580","6514289906","611000",,,,,,,,,,,,,,,,,,,"2017-04-08T13:46:18-0500","MICHELLE MAIERS-ATAKPU",,,,,4,3,0,0,3,0,3,1,0,,"2E2J2K2F2G3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2017-04-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,4,,,,,
"20170408153049P040092418481001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"DDI REALTY SERVICES, INC. 401(K) PLAN","002","2006-01-01","DDI REALTY SERVICES, INC.",,,"7200 W 132ND STREET, SUITE 300",,"OVERLAND PARK","KS","66213",,,,,,,,,,,,,,,,,,"481154410","9136854100","541600",,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,0,7,0,7,7,0,,"2E2H2J2F2K2R3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2017-04-08",,,,,,"1",,,,,,,,,,,,,,,,,7,,,,"2017-04-07T07:00:00-0500","MARSHALL H. DEAN"
"20170408161929P040084811767001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"VFTC TR MICHAEL J FONTANAROSA SELF EMPLOYED 401 (K)","001","2009-12-01","MCHAEL J. FONTANAROSA",,,"1909 SE 25TH AVE",,"PORTLAND","OR","972144908",,,,,,,"1909 SE 25TH AVE",,"PORTLAND","OR","972144908",,,,,,,"271526632","5032335251","541400",,,,,,,,,,,,,,,,,,,"2017-04-08T16:18:43-0500","PATRICIA FONTANAROSA",,,,,1,1,,,1,,1,,,,"2E",,"0","0","0","1","0","0","0","1","0","0","0","0","0","0",,"0","0","0","FILING_RECEIVED","2017-04-08","Filed with authorized/valid electronic signature",,,,,"1",,"PATRICIA FONTANAROSA",,"1075 NAUSET ROAD",,"EASTHAM","MA","02642",,,,,,,"7742070282",,1,,,,,
"20170408190410P040092605601001","2016-01-01","2016-12-31","1",,,,,,"1",,,,,,"MONTANA CREDIT UNION LEAGUE GROUP BENEFITS TRUST","501","2007-01-01","MONTANA CREDIT UNION LEAGUE GROUP BENEFITS TRUST",,"TRACIE KENYON","101 N. RODNEY",,"HELENA","MT","59601",,,,,,,,,,,,,,,,,,"376420195","4064429081","525100","MONTANA CREDIT UNION LEAGUE GROUP BENEFITS TRUST",,"101 N. RODNEY",,"HELENA","MT","59601",,,,,,,"376420195","4064429081",,,,,,,,,,422,429,10,,439,,,,,25,,"4A4B4D4E4H","1",,"1",,"1",,"1",,,,,"1",,"1","3","1",,,"FILING_RECEIVED","2017-04-08",,,,,,,,,,,,,,,,,,,,,,,422,"1","1","47277363","2017-03-27T07:00:00-0500","TRACIE KENYON"
"20170408192641P030073470605001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"RITZ-CRAFT CORPORATION OF PENNSYLVANIA, INC. FLEXIBLE BENEFITS PLAN","501","2005-04-01","RITZ-CRAFT CORPORATION OF PENNSYLVA NIA, INC.",,,"15 INDUSTRIAL PARK ROAD",,"MIFFLINBURG","PA","17844",,,,,,,,,,,,,,,,,,"231984836","5709661053","236110",,,,,,,,,,,,,,,,,,,"2017-04-08T19:25:46-0500","KENT JENKINS","2017-04-08T19:25:46-0500","KENT JENKINS",,,465,484,,,484,,,,,,,"4A4B4E4D","1","0","0","1","1","0","0","1","0","0","0","0","0","1","5","0","0","0","FILING_RECEIVED","2017-04-08","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,465,"2",,,,
"20170408195855P040092643665001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"HC LEAD CORP. 401(K) PROFIT SHARING PLAN","001","2015-11-04","HC LEAD CORP.",,,"926 ENSIGN PEAK CT",,"LAWRENCEVILLE","GA","30044",,,,,,,,,,,,,,,,,,"475517504","6786149723","722511",,,,,,,,,,,,,,,,,,,"2017-04-08T19:55:52-0500","HECTOR BADILLO",,,,,2,2,0,0,2,0,2,1,0,,"2E2J2K2H3D",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","FILING_RECEIVED","2017-04-08","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,2,,,,,
"20170525090650P030037060295001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"AMERICAN PAPER & TWINE COMPANY EMPLOYEE PROFIT SHARING & BENEFIT TRUST","002","1955-03-01","AMERICAN PAPER & TWINE COMPANY",,,"7400 COCKRILL BEND BLVD.",,"NASHVILLE","TN","37209",,,,,,,,,,,,,,,,,,"620539002","6153509000","453210","AMERICAN PAPER & TWINE COMPANY",,"7400 COCKRILL BEND BLVD","P.O. BOX 90348","NASHVILLE","TN","37209",,,,,,,"626271654","6153509000",,,,"2017-05-25T09:01:28-0500","WILLIAM D. MORRIS",,,,,341,261,0,42,303,0,303,303,15,,"2A2E2J2K",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","FILING_RECEIVED","2017-05-25","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,302,,,,,
"20170525101854P040045226289001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"CATALYST CORPORATE FCU - SHORT TERM DISABILITY","503","1999-08-01","CATALYST CORPORATE FCU",,,"6801 PARKWOOD BLVD.",,"PLANO","TX","75024",,,,,,,,,,,,,,,,,,"580501985","2147037691","522130",,,,,,,,,,,,,,,,,,,"2017-05-25T10:18:24-0500","KIMBERLY LO",,,,,187,189,0,0,189,,,,,,,"4F","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2017-05-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,187,"2",,,,
"20170525101903P040039391623001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"ADAMS STREET PARTNERS, LLC HEALTH AND WELFARE PLAN","501","2014-01-01","ADAMS STREET PARTNERS, LLC",,,"ONE NORTH WACKER DRIVE, SUITE 2200",,"CHICAGO","IL","60606",,,,,,,,,,,,,,,,,,"364395178","3125537890","523900",,,,,,,,,,,,,,,,,,,"2017-05-25T10:17:22-0500","ELYSE WINTER",,,,,109,112,4,0,116,,,,,,,"4A4B4D4E4F4H4L","1","0","0","1","1","0","0","1","0","0","0","0","0","1","5","0","0","0","FILING_RECEIVED","2017-05-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,105,"2",,,,
"20170525101942P030043235665001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"ALTENLOH, BRINCK & CO. US, INC.","501","2011-01-01","ALTENLOH, BRINCK & CO. US, INC.",,,"2105 WILLIAMS CO. RD. 12C",,"BRYAN","OH","43506",,,,,,,,,,,,,,,,,,"203946941","4196366715","332610",,,,,,,,,,,,,,,,,,,,,,,,,224,234,,,234,,,,,,,"4A4B4D4E4F4H4Q","1",,,,"1",,,,,,,,,"1","2",,,,"FILING_RECEIVED","2017-05-25",,,,,,"1",,,,,,,,,,,,,,,,,224,"2",,,"2017-04-19T07:00:00-0500","LAURIE SCHLOSSER"
"20170525102013P040001465609001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","1","0","0","0",,"ORANGE CRUSH, L.L.C. PROFIT SHARING PLAN","001","1984-12-01","ORANGE CRUSH, LLC",,,"321 CENTER STREET",,"HILLSIDE","IL","60162",,,,,,,,,,,,,,,,,,"363739725","7085449440","339900",,,,,,,,,,,,,,,,,,,"2017-05-25T06:14:20-0500","GINA SEVERINO",,,,,56,48,1,9,58,0,58,55,0,,"2E2F2G2J2K2T3D3H",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0",,"0","0","0","FILING_RECEIVED","2017-05-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,46,,,,,
"20170525102019P040039393863001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"KILBANE & WISE COMPANY, INC. 401(K) RETIREMENT PLAN","002","1985-02-01","KILBANE & WISE COMPANY, INC.",,,"21851 CENTER RIDGE ROAD",,"ROCKY RIVER","OH","44116",,,,,,,"21851 CENTER RIDGE ROAD",,"ROCKY RIVER","OH","44116",,,,,,,"341297961","4403562020","541211",,,,,,,,,,,,,,,,,,,,,,,,,8,7,0,1,8,0,8,8,0,,"2E2J3D2F2T",,"1","0","1","0","1","0","1","0","1","0","0","0","1","1","1","0","0","0","FILING_RECEIVED","2017-05-25",,,,,,"1",,,,,,,,,,,,,,,,,7,,,,"2017-05-15T00:00:00-0500","MARTIN J. WISE"
"20170525102054P040039394967001","2016-01-01","2016-12-31","2",,"0","0","1","0","0","0","0","0","0",,"AL JAZEERA AMERICA, LLC HEALTH AND WELFARE PLAN","501","2006-10-01","AL JAZEERA AMERICA, LLC",,,"435 HUDSON STREET, SUITE 400",,"NEW YORK","NY","10014",,,,,,,,,,,,,,,,,,"542147781","9178198449","519100",,,,,,,,,,,,,,,,,,,"2017-05-25T10:20:10-0500","MAUREEN LOWY",,,,,378,0,0,0,0,,,,,,,"4A4B4D4E4F4H4L4Q","1","0","0","0","1","0","0","0","0","0","0","0","0","1","6","0","0","0","FILING_RECEIVED","2017-05-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,374,"2",,,,
"20170525102147P030037130711001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","1","0","0","0",,"PROFIT SHARING AND 401(K) PLAN FOR EMPLOYEES OF LISTOWEL INC.","002","2008-01-01","LISTOWEL INC.",,,"3 PARK AVE #2701",,"NEW YORK","NY","10016",,,,,,,,,,,,,,,,,,"133087645","2126838660","523900",,,,,,,,,,,,,,,,,,,"2017-05-25T06:21:31-0500","LEWIS GASOREK",,,,,12,11,0,1,12,0,12,12,0,,"2E2F2G2J2R2T3D",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0","0","0","1","0","FILING_RECEIVED","2017-05-25","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,11,,,,,
